Vrsta_studija,Studij,Godina_studija,Semestar,ISVU_sifra,Naziv,Nastavnici,ECTS,Obavezan
preddiplomski sveučilišni,Poslovni sustavi,3,5,72622,Poduzetništvo,Detelj Kristina Kovšca Vladimir Fojs Ivana Šmaguc Tamara Konecki Irena,5,DA
preddiplomski sveučilišni,Poslovni sustavi,3,5,72611,Projektiranje informacijskih sustava,Andročec Darko Strahonja Vjeran Oreški Dijana,7,DA
preddiplomski sveučilišni,Poslovni sustavi,3,5,72623,Računalno i informatičko pravo,,3,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72612,Računovodstvo,Kovšca Vladimir Keglević Kozjak Suzana Šestanj Perić Tanja,5,DA
preddiplomski sveučilišni,Poslovni sustavi,3,5,72628,Sustavi temeljeni na znanju,Kliček Božidar Oreški Dijana,4,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72613,Upravljanje informatičkim uslugama,Mekovec Renata Strahonja Vjeran Pažur Aničić Katarina Mrkela Andrijana,4,DA
preddiplomski sveučilišni,Poslovni sustavi,3,5,72629,Upravljanje odnosima s klijentima,Dobrinić Damir Gerić Sandro Gregurec Iva,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72614,Algoritmi,Lovrenčić Alen Konecki Mladen,6,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72610,Baze podataka 2,Rabuzin Kornelije Križanić Snježana Hlapčić Marko Tomaš Boris,6,DA
preddiplomski sveučilišni,Informacijski sustavi,3,5,72615,Engleski jezik za menadžere,Fara Višnja,3,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72616,Logistika,Dvorski Stjepan Kovšca Vladimir Dvorski Lacković Ivana Lacković Vincek Zrinka Novak Ema,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72617,Mreže računala 2,Ivković Nikola Magdalenić IvanTomičić Igor Popović Elvis,6,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72618,Multimedijski sustavi,Kliček Božidar Plantak Vukovac Dijana,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72619,Njemački jezik za menadžere,,3,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72620,Odabrane teme iz biometrije,Bača Miroslav Grd Petra,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72621,Otkrivanje znanja u podacima,Kliček Božidar Oreški Dijana,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72622,Poduzetništvo,Detelj Kristina Kovšca Vladimir Fojs Ivana Šmaguc Tamara Konecki Irena,5,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72611,Projektiranje informacijskih sustava,Andročec Darko Strahonja Vjeran Oreški Dijana,7,DA
preddiplomski sveučilišni,Informacijski sustavi,3,5,72623,Računalno i informatičko pravo,,3,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72612,Računovodstvo,Kovšca Vladimir Keglević Kozjak Suzana Šestanj Perić Tanja,5,DA
preddiplomski sveučilišni,Informacijski sustavi,3,5,72628,Sustavi temeljeni na znanju,Kliček Božidar Oreški Dijana,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,5,72613,Upravljanje informatičkim uslugama,Mekovec Renata Strahonja Vjeran Pažur Aničić Katarina Mrkela Andrijana,4,DA
preddiplomski sveučilišni,Informacijski sustavi,3,5,72629,Upravljanje odnosima s klijentima,Dobrinić Damir Gerić Sandro Gregurec Iva,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,6,72635,Napredne formalne metode,Schatten Markus Lovrenčić Sandra,5,NE
preddiplomski sveučilišni,Informacijski sustavi,3,6,72631,Operacijska istraživanja 1,Žajdela Hrustek Nikolina Perši Nenad Žugec Bojan,5,DA
preddiplomski sveučilišni,Informacijski sustavi,3,6,72637,Poslovno odlučivanje,Begičević Ređep Nina Šlibar Barbara Kadoić Nikola Hunjak Tihomir,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,6,72638,Poslovno planiranje i projekti,Detelj Kristina Konecki Irena Fojs Ivana,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,6,72632,Programsko inženjerstvo,Stapić Zlatko Strahonja Vjeran Mijač Marko Tomaš Boris,7,DA
preddiplomski sveučilišni,Informacijski sustavi,3,6,72639,Vođenje projekata,Dušak Vesna Žajdela Hrustek Nikolina,4,NE
preddiplomski sveučilišni,Informacijski sustavi,3,6,72633,Web dizajn i programiranje,Kermek Dragutin Kaniški Matija Novak Matija Radošević Danijel Drabić Dejan,7,DA
preddiplomski sveučilišni,Informacijski sustavi,3,6,40738,Završni rad,,8,DA
preddiplomski sveučilišni,Poslovni sustavi,3,6,72635,Napredne formalne metode,Schatten Markus Lovrenčić Sandra,5,NE
preddiplomski sveučilišni,Poslovni sustavi,3,6,72631,Operacijska istraživanja 1,Žajdela Hrustek Nikolina Perši Nenad Žugec Bojan,5,DA
preddiplomski sveučilišni,Poslovni sustavi,3,6,72637,Poslovno odlučivanje,Begičević Ređep Nina Šlibar Barbara Kadoić Nikola Hunjak Tihomir,4,DA
preddiplomski sveučilišni,Poslovni sustavi,3,6,72638,Poslovno planiranje i projekti,Detelj Kristina Konecki Irena Fojs Ivana,4,DA
preddiplomski sveučilišni,Poslovni sustavi,3,6,72632,Programsko inženjerstvo,Stapić Zlatko Strahonja Vjeran Mijač Marko Tomaš Boris,7,NE
